Scheduler,Wait Time Mean,Wait Time Std Dev,Execution Time Mean,Execution Time Std Dev,Throughput
FIFO,1.33447,0.955204,450.265,0.955204,2.22614
FIFO,0.873894,0.426205,350.308,0.426205,2.85829
FIFO,0.937956,0.397329,300.295,0.397329,3.33257
FIFO,0.934793,0.385005,550.326,0.385005,1.82138
FIFO,0.898191,0.368362,600.33,0.368362,1.67219
FIFO,0.771417,0.361853,332.204,0.361853,2.96275
FIFO,0.723359,0.339828,1084.68,0.339828,0.81242
Nativo,0.832227,0.356403,450.333,0.356403,2.77572
Nativo,0.81938,0.378773,350.314,0.378773,3.56822
Nativo,0.889348,0.363558,300.29,0.363558,4.16264
Nativo,0.841359,0.351308,550.326,0.351308,2.27138
Nativo,0.876357,0.373811,600.327,0.373811,2.0822
Nativo,0.711198,0.341125,332.158,0.341125,3.76326
Nativo,0.583608,0.280866,1084.65,0.280866,1.15245
